Year,Buffalo,SanDiego
1940,36.01,15.15
1941,22.16,24.93
1942,38.63,5.93
1943,31.77,17.74
1944,35.72,13.06
1945,44.47,9.23
1946,31.64,8.74
1947,35.16,6.28
1948,37.39,6.63
1949,36.79,8.87
1950,37.38,7.67
1951,37.75,11.22
1952,29.14,15.52
1953,35.88,3.41
1954,44.78,9.52
1955,39.79,6.91
1956,41.93,4.39
1957,38.69,12.13
1958,34.39,10.93
1959,42.81,5.88
1960,35.16,7.05
1961,37.11,4.61
1962,28.55,7.39
1963,33.2,7.72
1964,29.67,5.27
1965,35.47,19.03
1966,32.87,7.18
1967,34.6,11.21
1968,38.26,3.68
1969,36.16,11.76
1970,34.71,9.38
1971,32.91,8.68
1972,41.63,6.48
1973,36.84,7.47
1974,36.31,8.13
1975,38.53,8.37
1976,46.52,11.23
1977,53.55,9.21
1978,35.74,19.41
1979,43.74,11.62
1980,38.31,14.96
1981,36.46,10.24
1982,41.11,12.96
1983,39.5,18.78
1984,37.42,8.71
1985,46,8.66
1986,39.66,12.18
1987,42.15,11.6
1988,38.61,10.26
1989,41.16,3.83
1990,50.89,7.29
1991,40.2,13.51
1992,47.56,12.81
1993,40.66,17.26
1994,36.72,9.43
1995,33.99,17.04
1996,48.2,7.27
1997,41.08,7
1998,34.7,16.05
1999,34.08,5.43
2000,42.2,6.9
2001,35.18,8.47
2002,39.74,4.23
2003,37.16,9.18
2004,41.73,13.39
2005,39.07,14.11
2006,44.41,5.12
2007,35.12,4.37
2008,47.31,11.11
2009,44.31,5.5
2010,36.72,16.26
2011,49.56,9.08
2012,32.8,6.62
2013,46.02,5.57
2014,42.4,7.77
2015,36.79,9.89
2016,33.87,12.61
2017,48.48,7.92
2018,41.64,7.65
2019,47.82,15.28
2020,39.67,7.83
2021,40.32,7.85
2022,45.29,5.9
2023,40.52,14.43
2024,37.05,11.16
2025,31.74,9.65
